NameLen,Style,Price,Cancellation,Stars,Reviews,Superhost,Guests,Bedrooms,Beds,Baths,DescLen,Amenities,Latitude,Longitude,PlazaDist,CanyonRdDist,CapitolDist,OperaDist,AirportDist
45,entire guesthouse,99,0,5,4,0,2,1,1,1,500,17,35.67922,-105.93796,0.569221679,0.720112364,0.244696867,5.897646259,11.32207547
46,entire guesthouse,102,1,5,4,0,2,1,1,1,484,27,35.68306,-105.95209,0.986136081,1.685677197,0.858651905,5.609841396,10.53613852
51,entire house,244,0,4.5,20,1,6,3,3,3,472,21,35.69571,-105.94468,0.713860402,1.53238798,0.98949452,4.726481052,11.39071558
13,entire guesthouse,95,1,5,40,1,2,0,1,1,292,13,35.6809,-105.95656,1.327097765,1.991195824,1.170253687,5.786105946,10.19273423
29,entire apartment,96,0,4.5,111,0,2,0,1,1,243,31,35.6916,-105.94932,0.800810132,1.649026655,0.925547209,5.010623351,10.97348372
19,entire guesthouse,91,1,5,38,1,3,0,1,1,183,36,35.68012,-105.95638,1.334886446,1.980403861,1.163601342,5.838313003,10.18078997
34,entire apartment,123,1,5,141,1,4,1,3,2,219,25,35.68141,-105.9418,0.474213286,0.969930872,0.157768276,5.724227751,11.13623014
30,private room,35,1,4.5,0,1,1,1,1,1,161,13,35.69647,-105.92896,0.910118482,1.04638212,1.229893916,4.834990441,12.38069816
50,entire guesthouse,128,0,4.5,15,1,2,0,1,1,401,17,35.69422,-105.93339,0.588657378,0.968726892,0.932931306,4.917774328,12.03702972
35,entire apartment,118,0,4.5,64,0,2,1,1,1,249,15,35.67743,-105.94947,1.025759189,1.52526463,0.755115592,5.990656944,10.53998892
34,entire bungalow,107,0,5,50,0,3,1,2,1,400,27,35.67045,-105.94948,1.397962526,1.681090981,1.062800037,6.473314041,10.35806327
34,entire bungalow,128,1,5,43,1,3,0,2,1,497,41,35.68036,-105.94175,0.537666263,0.969088673,0.195232992,5.796932253,11.11065217
12,entire house,148,0,5,5,0,2,1,1,1,429,25,35.6914,-105.94309,0.41873806,1.265445857,0.671724231,5.029165042,11.34966221
49,entire house,208,0,5,12,0,4,2,3,2,227,35,35.69375,-105.9395,0.44239158,1.178362034,0.792140215,4.88694795,11.64469848
29,entire house,131,0,5,17,1,2,1,1,1,353,21,35.67968,-105.9239,1.144596799,0.29314213,1.107841787,6.047497307,12.23891331
35,entire condominium,149,0,5,25,0,2,1,1,1,245,13,35.67943,-105.93687,0.56502347,0.643344765,0.278805209,5.891693092,11.39736713
33,entire house,172,1,5,24,0,6,2,3,1,396,13,35.68451,-105.9508,0.873116155,1.607044547,0.782879455,5.504761521,10.66008381
43,entire apartment,85,0,5,30,0,4,1,2,1,435,12,35.72015,-105.93111,2.320621633,2.691064047,2.684738645,3.226200619,13.06304177
51,entire house,168,0,5,3,1,4,1,2,1,471,25,35.68127,-105.93677,0.442960659,0.622049089,0.214832241,5.766184641,11.45240523
30,entire house,77,1,5,212,1,2,1,1,1,200,40,35.69612,-105.95271,1.150985914,2.003132008,1.312906609,4.711978413,10.91977708
19,entire house,80,0,4.5,180,0,2,1,1,1,244,12,35.66585,-105.96433,2.327154676,2.747364528,2.048752032,6.894249185,9.285087029
12,entire house,98,1,5,31,1,4,1,2,2,497,20,35.67137,-105.95597,1.640450257,2.069583267,1.355802609,6.437374585,9.963485172
14,entire house,175,1,5,49,0,6,3,3,1.5,405,19,35.69417,-105.96029,1.576394064,2.4164544,1.643974123,4.916982523,10.39923447
36,entire house,117,0,5,9,1,5,2,3,1,449,31,35.66922,-105.94754,1.405680734,1.605358591,1.054849186,6.556228566,10.45402393
40,entire condominium,152,1,5,4,1,3,1,2,1.5,497,26,35.67622,-105.95118,1.169681339,1.657780494,0.898588743,6.078798523,10.39830208
23,entire cabin,81,1,4.5,9,0,2,0,1,1,316,14,35.68142,-105.95825,1.426676483,2.107810275,1.284583638,5.764986746,10.10319726
30,entire guest suite,101,0,5,156,1,2,0,1,1,237,16,35.68057,-105.93134,0.686902689,0.252819686,0.590529997,5.87180264,11.78156623
43,entire apartment,114,1,4.5,297,1,2,1,1,1,473,23,35.67883,-105.92076,1.364947083,0.5167144,1.331923879,6.164644382,12.42207361
35,entire townhouse,224,1,4.5,35,0,8,3,4,2.5,254,30,35.69201,-105.93225,0.537094189,0.797143677,0.84657768,5.083140837,12.04133305
19,entire house,227,0,5,4,1,4,1,1,1,201,16,35.68916,-105.94241,0.294489178,1.146010886,0.510204813,5.186559596,11.32269219
38,entire house,744,0,4.5,1,0,8,4,4,4,207,15,35.68457,-105.93038,0.596803253,0.284272221,0.663529683,5.613319222,11.94837115
41,entire loft,192,0,5,3,1,2,1,1,1,192,14,35.68812,-105.93773,0.072554801,0.831068303,0.425018459,5.287794396,11.58371095
20,entire condominium,284,0,4.5,1,0,4,1,2,2,244,13,35.68057,-105.93227,0.64192995,0.315842905,0.527695775,5.860276089,11.72187565
26,entire apartment,193,1,5,67,0,6,3,5,2,258,16,35.69536,-105.93209,0.706197678,1.011384023,1.045563325,4.858690569,12.15260274
31,private room,320,1,5,7,1,4,2,2,1.5,437,28,35.68609,-105.93384,0.336733388,0.530631956,0.482737804,5.465530803,11.77050684
50,entire house,275,0,5,6,0,2,1,1,1,480,22,35.68282,-105.92465,1.011021606,0.237937051,1.041659814,5.824313166,12.26904605
35,private room,82,1,5,12,1,3,1,1,1,330,17,35.64334,-105.95132,3.175716654,3.094975254,2.812253143,8.3516412,9.723622301
16,entire house,365,1,4.5,4,0,7,3,4,3,458,17,35.68719,-105.91338,1.739063321,1.073735736,1.851762346,5.799766136,13.10513754
45,entire house,238,0,4.5,0,0,4,2,2,2,474,12,35.68906,-105.94679,0.583058006,1.418111003,0.677623331,5.183770033,11.0482349
32,private room,97,0,4.5,25,0,2,1,2,1,248,19,35.68505,-105.91467,1.657946063,0.94140674,1.74179354,5.901280335,12.96796776
49,entire condominium,237,0,4.5,4,0,6,2,3,2,494,18,35.69224,-105.93362,0.474955826,0.852453807,0.805994804,5.049329528,11.96272081
30,private room,177,0,5,7,1,2,0,1,1,464,22,35.68612,-105.93457,0.287863581,0.572557102,0.442426729,5.455298491,11.72519273
35,entire apartment,115,0,4.5,14,0,2,1,1,1,223,31,35.67959,-105.94491,0.699621694,1.191570422,0.406224018,5.840598023,10.88878999
20,entire house,205,0,5,5,0,4,1,1,1,447,32,35.68921,-105.94129,0.227756623,1.079930191,0.490468991,5.188429462,11.39384417
33,entire apartment,192,0,5,3,1,2,1,1,1,185,15,35.68494,-105.93027,0.596094902,0.300079465,0.677371909,5.58984085,11.96537444
24,entire house,540,0,4.5,2,0,8,3,3,3,222,14,35.67731,-105.9435,0.780187796,1.12352774,0.433858452,6.001405972,10.91739703
16,entire townhouse,241,1,4.5,1,0,4,2,2,2.5,357,25,35.69132,-105.93212,0.518061338,0.749735537,0.81498825,5.131703178,12.02903955
68,entire house,331,0,4.5,0,0,4,2,2,2.5,3620,7,35.69089,-105.93309,0.445375835,0.752947133,0.749743435,5.147884248,11.95566486
45,entire house,386,0,5,6,1,6,3,4,2,22,25,35.67701,-105.91448,1.812382963,0.968438744,1.782481375,6.423993808,12.78971504
42,entire house,514,0,4.5,1,1,10,3,5,3,51,25,35.67725,-105.93677,0.714499885,0.684723789,0.40385668,6.042250578,11.34773165
21,entire bungalow,153,0,4.5,2,0,4,1,2,1,495,18,35.68176,-105.94266,0.485627345,1.029737534,0.208128421,5.696621077,11.09142253
77,entire place,346,0,4.5,0,0,4,2,2,2,4454,7,35.68272,-105.92655,0.889781567,0.125267131,0.910075634,5.797521886,12.14445286
31,entire house,274,0,5,28,1,8,2,4,3,247,19,35.6803,-105.94068,0.5153314,0.895630564,0.15405957,5.806177695,11.17712542
27,private room,107,1,5,19,1,2,1,1,1,356,15,35.64328,-105.95186,3.190305403,3.118298468,2.827118115,8.357208061,9.686149114
16,entire condominium,269,0,4.5,3,0,5,2,3,2.5,487,16,35.69257,-105.93498,0.431708653,0.919970866,0.781831199,5.010424198,11.88801841
25,entire condominium,336,0,4.5,3,1,4,2,2,2.5,192,17,35.68912,-105.93802,0.12190964,0.887633165,0.485855383,5.21671304,11.595041
